NOME	GRANDE_AREA	AREA	SUB_AREA	ESPECIALIDADE
FILLIPE SILVEIRA MARINI	Ciências Agrárias	Agronomia	Extensão Rural	nan
MARCIA APARECIDA CEZAR	Ciências Agrárias	Agronomia	Fitossanidade	Fitopatologia
PATRICIA PINHEIRO FERNANDES VIEIRA	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Ciência de Alimentos	Avaliação e Controle de Qualidade de Alimentos
ANA FLAVIA SANTOS COELHO	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Ciência de Alimentos	Microbiologia de Alimentos
JANEEYRE FERREIRA MACIEL	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Ciência de Alimentos	Microbiologia de Alimentos
MARCIANE MAGNANI	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Ciência de Alimentos	Microbiologia de Alimentos
ESTEFANIA FERNANDES GARCIA	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Ciência de Alimentos	Química Física Fisico-Química e Bioquímica dos Alim. e das Mat-Primas Alimentares
INGRID CONCEICAO DANTAS GONCALVES	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Ciência de Alimentos	Química Física Fisico-Química e Bioquímica dos Alim. e das Mat-Primas Alimentares
MARTA SUELY MADRUGA	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Ciência de Alimentos	Química Física Fisico-Química e Bioquímica dos Alim. e das Mat-Primas Alimentares
TALIANA KENIA ALVES BEZERRA	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Ciência de Alimentos	Química Física Fisico-Química e Bioquímica dos Alim. e das Mat-Primas Alimentares
HAISSA ROBERTA CARDARELLI	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Tecnologia de Alimentos	Aproveitamento de Subprodutos
FLAVIA DE OLIVEIRA PAULINO	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Tecnologia de Alimentos	Tecnologia das Bebidas
JULICE DUTRA LOPES	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Tecnologia de Alimentos	Tecnologia das Bebidas
MARCELO BARBOSA MUNIZ	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Tecnologia de Alimentos	Tecnologia das Bebidas
ANA LUIZA MATTOS BRAGA	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Tecnologia de Alimentos	Tecnologia de Alimentos Dietéticos e Nutricionais
ANGELA MARIA TRIBUZY DE MAGALHÃES CORDEIRO	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Tecnologia de Alimentos	Tecnologia de Produtos de Origem Animal
