NOME	GRANDE_AREA	AREA	SUB_AREA	ESPECIALIDADE
PATRICIA ALVES RAMIRO	Ciências Humanas	Antropologia	Antropologia Rural	nan
SAMIR PERRONE DE MIRANDA	Ciências Humanas	Ciência Política	Estado e Governo	nan
AUGUSTO WAGNER MENEZES TEIXEIRA JUNIOR	Ciências Humanas	Ciência Política	Política Internacional	Integração Internacional Conflito Guerra e Paz
MARCOS ALAN SHAIKHZADEH VAHDAT FERREIRA	Ciências Humanas	Ciência Política	Política Internacional	Integração Internacional Conflito Guerra e Paz
MARIANA PIMENTA OLIVEIRA BACCARINI	Ciências Humanas	Ciência Política	Política Internacional	Organizações Internacionais
PASCOAL TEOFILO CARVALHO GONCALVES	Ciências Humanas	Ciência Política	Política Internacional	Organizações Internacionais
TULIO SERGIO HENRIQUES FERREIRA	Ciências Humanas	Ciência Política	Política Internacional	Política Externa do Brasil
HENRIQUE ZEFERINO DE MENEZES	Ciências Humanas	Ciência Política	Política Internacional	Relações Internacionais Bilaterais e Multilaterais
HENRY IURE DE PAIVA SILVA	Ciências Humanas	Ciência Política	Política Internacional	Relações Internacionais Bilaterais e Multilaterais
LILIANA RAMALHO FROIO	Ciências Humanas	Ciência Política	Política Internacional	Relações Internacionais Bilaterais e Multilaterais
THIAGO LIMA DA SILVA	Ciências Humanas	Ciência Política	Política Internacional	Relações Internacionais Bilaterais e Multilaterais
LIZANDRA SERAFIM	Ciências Humanas	Ciência Política	Políticas Públicas	nan
GILVANILDO OLIVEIRA AVELINO	Ciências Humanas	Ciência Política	Teoria Política	Teoria Política Contemporânea
ANA PAULA ROMAO DE SOUZA FERREIRA	Ciências Humanas	Educação	Currículo	Currículos Específicos para Níveis e Tipos de Educação
THAIS OLIVEIRA DE SOUZA	Ciências Humanas	Educação	Currículo	Currículos Específicos para Níveis e Tipos de Educação
JOSE LEONARDO ROLIM DE LIMA SEVERO	Ciências Humanas	Educação	Currículo	nan
EDUARDO SIMON	Ciências Humanas	Educação	Ensino-Aprendizagem	Avaliação da Aprendizagem
NÁJILA BIANCA CAMPOS FREITAS	Ciências Humanas	Educação	Ensino-Aprendizagem	Avaliação da Aprendizagem
FRANCISCO JOSE PEGADO ABILIO	Ciências Humanas	Educação	Ensino-Aprendizagem	Métodos e Técnicas de Ensino
MARSILVIO GONCALVES PEREIRA	Ciências Humanas	Educação	Ensino-Aprendizagem	Métodos e Técnicas de Ensino
TANIA RODRIGUES PALHANO	Ciências Humanas	Educação	Fundamentos da Educação	Filosofia da Educação
CHARLITON JOSE DOS SANTOS MACHADO	Ciências Humanas	Educação	Fundamentos da Educação	História da Educação
