0 1 2 
1 0 2 
2 0 1 
3 5 10 
4 5 8 
5 6 11 
6 3 10 
7 4 8 
8 4 11 
9 6 9 
10 8 11 
11 3 11 
12 4 7 
13 15 24 
14 19 21 
15 21 24 
16 20 22 
17 21 23 
18 17 20 
19 16 18 
20 16 17 
21 13 21 
22 16 24 
23 18 22 
24 15 17 
25 13 14 
26 15 20 
27 15 17 
28 12 16 
29 30 31 
30 29 30 
31 31 32 
32 28 30 
33 27 31 
34 28 31 
35 25 27 
36 28 29 
37 26 30 
38 40 43 
39 45 48 
40 56 57 
41 41 59 
42 51 58 
43 39 49 
44 42 43 
45 59 63 
46 41 63 
47 46 63 
48 35 56 
49 36 44 
50 46 54 
51 47 64 
52 38 54 
53 41 57 
54 55 61 
55 42 63 
56 35 60 
57 39 61 
58 37 51 
59 51 61 
60 50 58 
61 49 50 
62 34 55 
63 50 58 
64 36 42 
65 33 45 
66 52 62 
67 35 57 
68 35 56 
69 51 53 
70 36 57 
71 41 47 
72 40 47 
73 50 64 
74 36 45 
75 39 55 
76 39 46 
77 46 47 
78 43 61 
79 68 70 
80 69 70 
81 69 70 
82 65 69 
83 67 68 
84 65 66 
85 66 67 
86 72 73 
87 71 73 
88 71 72 
89 75 224 
90 74 108 
91 108 383 
92 77 80 
93 78 79 
94 79 80 
95 77 79 
96 76 78 
97 76 78 
98 76 78 
99 83 86 
100 81 83 
101 84 86 
102 81 82 
103 83 86 
104 81 87 
105 81 84 
106 85 86 
107 89 93 
108 93 97 
109 88 94 
110 88 92 
111 96 97 
112 91 97 
113 91 95 
114 88 89 
115 89 93 
116 92 93 
117 92 97 
118 88 91 
119 91 92 
120 99 100 
121 98 100 
122 98 100 
123 98 99 
124 102 128 
125 102 384 
126 101 120 
127 104 106 
128 106 107 
129 104 105 
130 103 105 
131 106 107 
132 103 107 
133 103 107 
134 105 106 
135 103 105 
136 111 112 
137 112 118 
138 112 118 
139 113 114 
140 110 116 
141 109 115 
142 109 113 
143 109 115 
144 112 118 
145 113 116 
146 117 118 
147 111 117 
148 115 116 
149 113 115 
150 120 121 
151 119 121 
152 119 121 
153 121 122 
154 119 120 
155 119 120 
156 125 127 
157 123 127 
158 123 126 
159 123 127 
160 126 127 
161 123 125 
162 124 125 
163 211 239 
164 133 136 
165 131 137 
166 130 137 
167 134 135 
168 130 133 
169 129 132 
170 130 133 
171 132 137 
172 134 136 
173 129 134 
174 133 137 
175 130 131 
176 131 136 
177 263 404 
178 145 157 
179 141 145 
180 143 151 
181 143 152 
182 151 153 
183 146 148 
184 150 157 
185 144 157 
186 146 149 
187 146 147 
188 142 147 
189 139 149 
190 140 143 
191 140 156 
192 144 155 
193 140 141 
194 145 154 
195 149 154 
196 141 145 
197 150 152 
198 141 151 
199 140 150 
200 149 157 
201 147 148 
202 150 152 
203 143 146 
204 139 154 
205 159 162 
206 168 169 
207 160 162 
208 159 169 
209 161 162 
210 163 169 
211 165 167 
212 165 167 
213 158 169 
214 161 168 
215 163 167 
216 164 166 
217 167 168 
218 160 165 
219 161 164 
220 165 168 
221 161 163 
222 163 166 
223 159 166 
224 160 162 
225 159 160 
226 173 175 
227 175 176 
228 170 173 
229 174 176 
230 172 177 
231 173 177 
232 171 176 
233 173 175 
234 174 175 
235 186 190 
236 186 190 
237 181 185 
238 178 180 
239 184 190 
240 186 188 
241 191 192 
242 185 191 
243 185 191 
244 184 192 
245 183 190 
246 178 183 
247 188 189 
248 187 192 
249 187 191 
250 178 182 
251 180 186 
252 183 184 
253 180 188 
254 183 188 
255 194 199 
256 193 199 
257 197 199 
258 193 198 
259 198 199 
260 193 194 
261 195 196 
262 196 197 
263 193 194 
264 201 205 
265 200 205 
266 205 206 
267 200 204 
268 200 205 
269 206 207 
270 202 203 
271 200 207 
272 202 207 
273 204 206 
274 136 508 
275 212 230 
276 216 220 
277 227 230 
278 216 219 
279 209 214 
280 209 227 
281 215 222 
282 218 223 
283 213 222 
284 228 230 
285 219 220 
286 210 218 
287 217 229 
288 214 228 
289 212 229 
290 217 225 
291 210 216 
292 222 225 
293 225 228 
294 217 219 
295 217 230 
296 209 222 
297 213 221 
298 227 228 
299 214 223 
300 219 226 
301 212 227 
302 225 229 
303 223 226 
304 210 215 
305 210 212 
306 216 223 
307 218 226 
308 218 226 
309 209 220 
310 234 251 
311 246 256 
312 241 247 
313 235 239 
314 251 252 
315 231 236 
316 240 257 
317 231 251 
318 246 256 
319 245 247 
320 233 247 
321 248 253 
322 241 245 
323 233 257 
324 235 257 
325 252 256 
326 238 255 
327 233 237 
328 232 255 
329 250 252 
330 241 247 
331 237 238 
332 238 248 
333 236 254 
334 237 244 
335 233 237 
336 232 251 
337 253 257 
338 232 255 
339 231 252 
340 231 236 
